,Дата,Вакансия,ЗП,Компания,Рейтинг компании,Необходимый уровень,Место работы,Тип занятости
700,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
701,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
702,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
703,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
704,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
705,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
706,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
707,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
708,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
709,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
710,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
711,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
712,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
713,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
714,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
715,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
716,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
717,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
718,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
719,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
720,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
721,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
722,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
723,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
724,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
725,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
726,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
727,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
728,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
729,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
730,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
731,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
732,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
733,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
734,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
735,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
736,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
737,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
738,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
739,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
740,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
741,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
742,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
743,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
744,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
745,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
746,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
747,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
748,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
749,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
750,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
751,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
752,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
753,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
754,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
755,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
756,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
757,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
758,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
759,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
760,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
761,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
762,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
763,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
764,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
765,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
766,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
767,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
768,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
769,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
770,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
771,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
772,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
773,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
774,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
775,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
776,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
777,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
778,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
779,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
780,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
781,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
782,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
783,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
784,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
785,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
786,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
787,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
788,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
789,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
790,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
791,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
792,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
793,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
794,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
795,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
796,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
797,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
798,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
799,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
800,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
801,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
802,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
803,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
804,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
805,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
806,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
807,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
808,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
809,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
810,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
811,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
812,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
813,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
814,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
815,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
816,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
817,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
818,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
819,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
820,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
821,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
822,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
823,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
824,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
825,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
826,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
827,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
828,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
829,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
830,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
831,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
832,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
833,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
834,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
835,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
836,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
837,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
838,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
839,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
840,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
841,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
842,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
843,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
844,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
845,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
846,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
847,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
848,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
849,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
850,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
851,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
852,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
853,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
854,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
855,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
856,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
857,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
858,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
859,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
860,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
861,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
862,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
863,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
864,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
865,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
866,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
867,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
868,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
869,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
870,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
871,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
872,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
873,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
874,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
875,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
876,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
877,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
878,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
879,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
880,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
881,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
882,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
883,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
884,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
885,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
886,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
887,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
888,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
889,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
890,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
891,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
892,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
893,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
894,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
895,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
896,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
897,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
898,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
899,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
900,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
901,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
902,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
903,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
904,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
905,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
906,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
907,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
908,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
909,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
